id,subject_id,subject_name,evaluation_method_code,evaluation_method_name,evaluation_method_pred,conduct_score_pred,severity_level,reason_text,solution_text
1,INF0153,Hệ điều hành,EM1,Đánh giá chuyên cần,0.542,0.6883,Thấp,"[INF0153 - Hệ điều hành] Sinh viên đi học không đều, bỏ tiết nhiều lần",Gắn chuyên cần vào tiêu chí CLO cụ thể
2,INF0073,Cấu trúc dữ liệu và giải thuật,EM1,Đánh giá chuyên cần,0.7351,0.5969,Trung bình,[INF0073 - Cấu trúc dữ liệu và giải thuật] Giảng viên cập nhật dữ liệu chuyên cần chậm,Áp dụng điểm danh tự động và cảnh báo sớm
3,PLO0032,Tư tưởng Hồ Chí Minh,EM1,Đánh giá chuyên cần,0.7983,0.6371,Thấp,[PLO0032 - Tư tưởng Hồ Chí Minh] Điểm danh chưa đồng bộ giữa các lớp trên LMS (ghi nhận học kỳ này),Thông báo nhắc nhở theo tuần qua email/app
4,INF0823,Thiết kế web (frontend),EM1,Đánh giá chuyên cần,0.9499,0.4088,Trung bình,[INF0823 - Thiết kế web (frontend)] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Thông báo nhắc nhở theo tuần qua email/app
5,INF1463,Khai phá dữ liệu,EM1,Đánh giá chuyên cần,0.5398,0.5241,Trung bình,[INF1463 - Khai phá dữ liệu] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Gắn chuyên cần vào tiêu chí CLO cụ thể
6,INF0137,Đồ án tốt nghiệp (**),EM1,Đánh giá chuyên cần,0.6984,0.3944,Trung bình,"[INF0137 - Đồ án tốt nghiệp (**)] Sinh viên đi học không đều, bỏ tiết nhiều lần",Áp dụng điểm danh tự động và cảnh báo sớm
7,INF0137,Đồ án tốt nghiệp (**),EM1,Đánh giá chuyên cần,0.4365,0.491,Trung bình,[INF0137 - Đồ án tốt nghiệp (**)] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
8,INF1453,Đồ họa máy tính,EM1,Đánh giá chuyên cần,0.3197,0.8587,Tốt,[INF1453 - Đồ họa máy tính] Điểm danh chưa đồng bộ giữa các lớp trên LMS (ghi nhận học kỳ này),Thông báo nhắc nhở theo tuần qua email/app
9,INF1213,Robot công nghiệp,EM1,Đánh giá chuyên cần,0.776,0.3308,Trung bình,[INF1213 - Robot công nghiệp] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Thông báo nhắc nhở theo tuần qua email/app
10,INF0823,Thiết kế web (frontend),EM1,Đánh giá chuyên cần,0.5679,0.559,Trung bình,[INF0823 - Thiết kế web (frontend)] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
11,SKI0011,Kỹ năng thuyết trình,EM1,Đánh giá chuyên cần,1.0,0.5265,Trung bình,"[SKI0011 - Kỹ năng thuyết trình] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
